year,quarter,project_id,budget,total_obligations,total_expenditures,current_obligations,current_expenditures
2022,Q3,ARP-0064-PHW,"$2,500,000.00 ",0,0,0,0
2022,Q3,ARP-0065-DEL,"$11,417,313.00 ",0,0,0,0
2022,Q3,ARP-0038,"$668,800.00 ","$80,000.00 ","$80,000.00 ","$80,000.00 ","$80,000.00 "
2022,Q3,ARP-0039,"$331,200.00 ","$5,642.98 ","$5,642.98 ","$5,642.98 ","$5,642.98 "
2022,Q3,ARP-0062-DEL,"$6,000,000.00 ",0,0,0,0
2022,Q3,ARP-0063-MAY,"$7,500,000.00 ",0,0,0,0
2022,Q3,ARP-0046-LMP,"$11,167,916.00 ","$11,167,915.60 ","$11,167,915.60 ",0,0
2022,Q3,ARP-0045-YTS,"$3,000,000.00 ","$440,469.13 ","$440,469.13 ","$377,079.05 ","$377,079.05 "
2022,Q3,ARP-0043-LMP,"$6,000,000.00 ","$3,031,791.87 ","$3,028,545.47 ","$5,873.86 ","$2,991,172.93 "
2022,Q3,ARP-0034-SHN,"$8,000,000.00 ","$242,543.11 ","$175,876.42 ","$42,543.11 ","$95,876.43 "
2022,Q3,ARP-0032-OMB,"$15,000,000.00 ","$1,726,097.42 ","$1,475,731.17 ","$1,129,572.82 ","$915,784.55 "
2022,Q3,ARP-0019-RCS,"$250,000.00 ","$250,000.00 ","$177,266.00 ",0,"$24,701.00 "
2022,Q3,ARP-0012-PHW,"$280,000.00 ","$58,734.50 ","$25,834.50 ","$55,475.75 ","$22,575.75 "
2022,Q3,ARP-0021-RCS,"$1,500,000.00 ","$1,160,878.88 ","$416,787.18 ","$177,413.33 ","$303,766.83 "
2022,Q3,ARP-0031-OMB,"$95,000.00 ","$75,900.31 ","$75,900.31 ","($10,099.69)","$11,047.09 "
2022,Q3,ARP-0030-OMB,"$160,000.00 ","$138,672.01 ","$138,672.01 ","($5,212.13)","$26,260.32 "
2022,Q3,ARP-0029-OMB,"$3,125,913.00 ","$2,741,651.16 ","$2,741,651.16 ","($271,814.22)","$1,901,631.77 "
2022,Q3,ARP-0033-LMP,"$17,500,000.00 ","$508,677.12 ","$432,592.67 ","$441,062.80 ","$406,128.35 "
2022,Q3,ARP-0026-DEL,"$4,000,000.00 ","$110,038.67 ","$110,038.67 ","$61,310.48 ","$61,310.48 "
2022,Q3,ARP-0020-RCS,"$1,500,000.00 ","$1,500,000.00 ","$1,500,000.00 ",0,"$177,238.07 "
2022,Q3,ARP-0008-PHW,"$3,250,000.00 ",0,0,"$1,750,000.00 ","$14,185.71 "
2022,Q3,ARP-0058-LIB,"$5,000,000.00 ",0,0,0,0
2022,Q3,ARP-0057-PAR,"$5,000,000.00 ","$12,000.00 ",0,"$12,000.00 ",0
2022,Q3,ARP-0056-PAR,"$500,000.00 ",0,0,0,0
2022,Q3,ARP-0055-PAR,"$200,000.00 ",0,0,0,0
2022,Q3,ARP-0054-PAR,"$500,000.00 ","$11,180.00 ",0,"$11,180.00 ",0
2022,Q3,ARP-0053-LIB,"$800,000.00 ",0,0,0,0
2022,Q3,ARP-0052-LIB,"$800,000.00 ",0,0,0,0
2022,Q3,ARP-0050-DEL,"$6,000,000.00 ",0,0,0,0
2022,Q3,ARP-0051-LIB,"$8,000,000.00 ",0,0,0,0
2022,Q3,ARP-0049-PAR,"$2,500,000.00 ","$17,700.00 ",0,"$17,700.00 ",0
2022,Q3,ARP-0047-DEL,"$10,000,000.00 ",0,0,0,0
2022,Q3,ARP-0044-OMB,"$4,800,000.00 ",0,0,0,0
2022,Q3,ARP-0042-SHN,"$200,000.00 ","$200,000.00 ","$60,448.33 ","$200,000.00 ","$60,448.33 "
2022,Q3,ARP-0041-SHN,"$117,000.00 ",0,0,0,0
2022,Q3,ARP-0037-SHN,"$4,500,000.00 ","$790,978.00 ",0,"$790,978.00 ",0
2022,Q3,ARP-0036-SHN,"$1,300,000.00 ","$1,300,000.00 ",0,"$1,300,000.00 ",0
2022,Q3,ARP-0035-SHN,"$1,000,000.00 ","$13,000.00 ","$4,162.50 ","$13,000.00 ","$4,162.50 "
2022,Q3,ARP-0024-DEL,"$7,500,000.00 ","$390,950.00 ","$59,450.00 ","$390,950.00 ","$59,450.00 "
2022,Q3,ARP-0022-DEL,"$20,582,687.00 ",0,0,0,0
2022,Q3,ARP-0060-SHN,"$8,500,000.00 ",0,0,0,0
2022,Q3,ARP-0005-PHW,"$8,365,927.00 ","$4,369,369.17 ","$4,041,823.50 ","$403,645.50 ","$503,632.31 "
2022,Q3,ARP-0001-DEL,"$10,000,000.00 ","$10,000,000.00 ","$9,981,906.65 ",0,"$12,350.07 "
2022,Q3,ARP-0027-OMB,"$20,657,438.00 ","$20,657,437.50 ","$20,657,437.50 ",0,0
2022,Q3,ARP-0028-OMB,"$342,563.00 ","$342,562.50 ","$342,562.50 ",0,0
2022,Q3,ARP-0017-PHW,"$1,200,000.00 ","$75,788.73 ","$75,788.73 ","$22,319.25 ","$22,319.25 "
2022,Q3,ARP-0018-RCS,"$5,000,000.00 ","$5,000,000.00 ","$5,000,000.00 ","$29,427.17 ","$29,427.17 "
2022,Q3,ARP-0014-PHW,"$1,050,000.00 ","$448,709.54 ","$291,821.49 ",($709.24),"$116,038.62 "
2022,Q3,ARP-0011-PHW,"$3,914,573.00 ","$2,095,446.49 ","$2,095,446.49 ","$511,093.48 ","$511,093.48 "
2022,Q3,ARP-0013-PHW,"$430,250.00 ","$46,783.52 ","$46,783.52 ","$43,813.52 ","$43,813.52 "
2022,Q3,ARP-0009-PHW,"$12,000.00 ",$36.05 ,$36.05 ,0,0
2022,Q3,ARP-0006-PHW,"$2,729,900.00 ","$2,230,675.14 ","$939,389.14 ","$1,061,500.41 ","$589,783.41 "
2022,Q3,ARP-0003-DEL,"$1,000,000.00 ","$1,000,000.00 ","$732,472.29 ",0,"$224,029.34 "
2022,Q3,ARP-0004-ECD,"$1,000,000.00 ","$997,486.75 ","$943,422.31 ","($2,513.25)","$354,300.17 "
2022,Q3,ARP-0007-PHW,"$6,095,950.00 ","$5,360,904.98 ","$5,323,904.98 ","$1,424,773.17 ","$1,424,773.17 "
2022,Q3,ARP-0010-PHW,"$3,216,400.00 ","$2,751,867.62 ","$2,632,917.62 ","$208,321.64 ","$256,434.14 "
2022,Q3,ARP-0010-PHW-FY21,"$3,832,084.00 ","$3,832,084.40 ","$3,832,084.40 ",0,0
2022,Q2,ARP-0046-LMP,"$11,167,915.60 ","$11,167,915.60 ","$11,167,915.60 ",$0.00 ,$0.00 
2022,Q2,ARP-0045-YTS,"$3,000,000.00 ","$63,390.06 ","$63,390.06 ","$49,646.17 ","$49,646.17 "
2022,Q2,ARP-0043-LMP,"$6,000,000.00 ","$3,007,019.98 ","$37,361.74 ","$1,403,104.18 ","$26,672.50 "
2022,Q2,ARP-0034-SHN,"$8,000,000.00 ","$200,000.00 ","$79,999.99 ",$0.00 ,"$26,666.66 "
2022,Q2,ARP-0032-OMB,"$15,000,000.00 ","$596,524.60 ","$557,773.35 ","$110,919.85 ","$122,636.10 "
2022,Q2,ARP-0019-RCS,"$250,000.00 ","$250,000.00 ","$152,565.00 ",$0.00 ,"$59,573.00 "
2022,Q2,ARP-0012-PHW,"$280,000.00 ","$3,258.75 ","$3,258.75 ",$0.00 ,$0.00 
2022,Q2,ARP-0021-RCS,"$1,500,000.00 ","$983,465.55 ","$93,887.89 ","$50,479.09 ","$74,755.43 "
2022,Q2,ARP-0031-OMB,"$95,000.00 ","$86,000.00 ","$64,853.22 ","$86,000.00 ","$64,853.22 "
2022,Q2,ARP-0030-OMB,"$160,000.00 ","$160,000.00 ","$112,411.69 ","$143,884.14 ","$112,411.69 "
2022,Q2,ARP-0029-OMB,"$3,125,912.50 ","$3,013,465.38 ","$840,019.39 ","$3,013,465.38 ","$840,019.39 "
2022,Q2,ARP-0033-LMP,"$17,500,000.00 ","$67,614.32 ","$26,464.32 ","$67,614.32 ","$26,464.32 "
2022,Q2,ARP-0026-DEL,"$4,000,000.00 ","$48,728.19 ","$48,728.19 ","$48,728.19 ","$48,728.19 "
2022,Q2,ARP-0020-RCS,"$1,500,000.00 ","$1,500,000.00 ","$1,322,761.93 ","$1,500,000.00 ","$1,322,761.93 "
2022,Q2,ARP-0008-PHW,"$3,250,000.00 ","$1,750,000.00 ","$3,933.33 ","$1,750,000.00 ","$3,933.33 "
2022,Q2,ARP-0058-LIB,"$5,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0057-PAR,"$5,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0056-PAR,"$500,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0055-PAR,"$200,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0054-PAR,"$500,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0053-LIB,"$800,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0052-LIB,"$800,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0050-DEL,"$6,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0051-LIB,"$8,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0049-PAR,"$2,500,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0047-DEL,"$10,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0044-OMB,"$4,800,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0042-SHN,"$200,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0041-SHN,"$117,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0037-SHN,"$4,500,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0036-SHN,"$1,300,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0035-SHN,"$1,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0024-DEL,"$7,500,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0022-DEL,"$32,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0060-SHN,"$8,500,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0005-PHW,"$8,365,927.00 ","$3,965,723.67 ","$3,538,191.19 ","$1,134,827.63 ","$856,623.15 "
2022,Q2,ARP-0001-DEL,"$10,000,000.00 ","$10,000,000.00 ","$9,969,556.58 ",$0.00 ,"$36,497.08 "
2022,Q2,ARP-0040-YTS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
2022,Q2,ARP-0027-OMB,"$20,657,437.50 ","$20,657,437.50 ","$20,657,437.50 ","$10,482,812.50 ","$10,482,812.50 "
2022,Q2,ARP-0028-OMB,"$342,562.50 ","$342,562.50 ","$342,562.50 ","$90,062.50 ","$90,062.50 "
2022,Q2,ARP-0017-PHW,"$1,200,000.00 ","$54,590.94 ","$53,469.48 ","$12,092.14 ","$10,970.68 "
2022,Q2,ARP-0018-RCS,"$5,000,000.00 ","$4,970,572.83 ","$4,970,572.83 ","$31,734.78 ","$212,577.19 "
2022,Q2,ARP-0014-PHW,"$450,000.00 ","$449,418.78 ","$175,782.87 ","$231,050.00 ",$0.00 
2022,Q2,ARP-0011-PHW,"$3,914,573.00 ","$1,584,353.01 ","$1,584,353.01 ","$187,653.48 ","$187,653.48 "
2022,Q2,ARP-0013-PHW,"$430,250.00 ","$2,970.00 ","$2,970.00 ",$0.00 ,$0.00 
2022,Q2,ARP-0009-PHW,"$12,000.00 ",$36.05 ,$36.05 ,$0.00 ,$0.00 
2022,Q2,ARP-0006-PHW,"$2,729,900.00 ","$1,169,174.73 ","$349,605.73 ",$0.00 ,"$116,640.00 "
2022,Q2,ARP-0003-DEL,"$1,000,000.00 ","$1,000,000.00 ","$508,442.95 ",$0.00 ,"$30,038.67 "
2022,Q2,ARP-0004-ECD,"$1,000,000.00 ","$1,000,000.00 ","$589,122.14 ",$0.00 ,"$141,650.50 "
2022,Q2,ARP-0007-PHW,"$6,095,950.00 ","$3,936,131.81 ","$3,936,131.81 ","$456,679.48 ","$456,679.48 "
2022,Q2,ARP-0010-PHW,"$3,216,400.00 ","$2,543,545.98 ","$2,543,545.98 ","$122,167.34 ","$98,392.34 "
2022,Q2,ARP-0010-PHW-FY21,"$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ",$0.00 ,$0.00 
2022,Q1,ARP-0046-LMP,"$11,167,915.60 ","$11,167,915.60 ","$11,167,915.60 ","$11,167,915.60 ","$11,167,915.60 "
2022,Q1,ARP-0045-YTS,"$3,000,000.00 ","$13,743.89 ","$13,743.89 ","$13,743.89 ","$13,743.89 "
2022,Q1,ARP-0043-LMP,"$6,000,000.00 ","$1,603,915.80 ","$10,700.04 ","$1,603,915.80 ","$10,700.04 "
2022,Q1,ARP-0034-SHN,"$8,000,000.00 ","$200,000.00 ","$53,333.33 ","$200,000.00 ","$53,333.33 "
2022,Q1,ARP-0032-OMB,"$10,000,000.00 ","$448,204.75 ","$435,137.25 ","$448,204.75 ","$435,137.25 "
2022,Q1,ARP-0019-RCS,"$250,000.00 ","$250,000.00 ","$92,992.00 ","$250,000.00 ","$92,992.00 "
2022,Q1,ARP-0012-PHW,"$140,000.00 ","$3,258.75 ","$3,258.75 ","$3,258.75 ","$3,258.75 "
2022,Q1,ARP-0021-RCS,"$1,500,000.00 ","$932,986.46 ","$19,132.46 ","$932,986.46 ","$19,132.46 "
2022,Q1,ARP-0005-PHW,"$5,102,000.00 ","$2,830,896.04 ","$2,681,568.04 ","$1,345,778.97 ","$1,196,450.97 "
2022,Q1,ARP-0001-DEL,"$10,000,000.00 ","$10,000,000.00 ","$9,933,059.50 ","$82,901.27 ","$82,901.27 "
2022,Q1,ARP-0040-YTS,$0.00 ,$0.00 ,$0.00 ,($407.16),($407.16)
2022,Q1,ARP-0027-OMB,"$20,000,000.00 ","$10,174,625.00 ","$10,174,625.00 ",$0.00 ,$0.00 
2022,Q1,ARP-0028-OMB,"$1,000,000.00 ","$252,500.00 ","$252,500.00 ",$0.00 ,$0.00 
2022,Q1,ARP-0017-PHW,"$1,200,000.00 ","$42,498.80 ","$42,498.80 ","$21,157.86 ","$21,157.86 "
2022,Q1,ARP-0018-RCS,"$5,000,000.00 ","$4,938,838.05 ","$4,757,995.64 ","$539,157.59 ","$1,471,018.39 "
2022,Q1,ARP-0014-PHW,"$450,000.00 ","$218,368.78 ","$175,782.87 ","($6,631.22)","$71,630.89 "
2022,Q1,ARP-0011-PHW,"$2,603,100.00 ","$1,396,699.53 ","$1,396,699.53 ","$1,396,699.53 ","$1,396,699.53 "
2022,Q1,ARP-0013-PHW,"$330,250.00 ","$2,970.00 ","$2,970.00 ",$0.00 ,$0.00 
2022,Q1,ARP-0009-PHW,"$312,000.00 ",$36.05 ,$36.05 ,$0.00 ,$0.00 
2022,Q1,ARP-0006-PHW,"$1,201,900.00 ","$1,169,174.73 ","$232,965.73 ","$509,845.53 ","$155,725.53 "
2022,Q1,ARP-0003-DEL,"$1,000,000.00 ","$1,000,000.00 ","$478,404.28 ",$0.00 ,"$342,174.47 "
2022,Q1,ARP-0004-ECD,"$1,000,000.00 ","$1,000,000.00 ","$447,471.64 ",$0.00 ,"$224,531.86 "
2022,Q1,ARP-0007-PHW,"$5,965,950.00 ","$3,479,452.33 ","$3,442,452.33 ","$2,031,986.47 ","$2,031,986.47 "
2022,Q1,ARP-0010-PHW,"$2,870,400.00 ","$2,421,378.64 ","$2,278,091.14 ","$343,808.25 ","$225,520.75 "
2022,Q1,ARP-0010-PHW-FY21,"$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ",$0.00 ,$0.00 
2021,Q4,ARP-0007-PHW,"$1,447,465.86 ","1,447,465.86","1,410,465.86","1,447,465.86","1,410,465.86"
2021,Q4,ARP-0004-ECD,"$1,000,000.00 ","$1,000,000.00 ","$222,939.78 ","$1,000,000.00 ","$222,939.78 "
2021,Q4,ARP-0003-DEL,"$1,000,000.00 ","$1,000,000.00 ","$136,229.81 ","$1,000,000.00 ","$136,229.81 "
2021,Q4,ARP-0010-PHW-FY21,"$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 "
2021,Q4,ARP-0006-PHW,"$659,329.20 ","$659,329.20 ","$77,240.20 ","$659,329.20 ","$77,240.20 "
2021,Q4,ARP-0009-PHW,$36.05 ,$36.05 ,$36.05 ,$36.05 ,$36.05 
2021,Q4,ARP-0013-PHW,"$2,970.00 ","$2,970.00 ","$2,970.00 ","$2,970.00 ","$2,970.00 "
2021,Q4,ARP-0010-PHW,"$2,077,570.39 ","$2,077,570.39 ","$2,077,570.39 ","$2,077,570.39 ","$2,077,570.39 "
2021,Q4,ARP-0011-PHW,"$1,020,281.91 ","$1,020,281.91 ","$1,020,281.91 ","$1,020,281.91 ","$1,020,281.91 "
2021,Q4,ARP-0014-PHW,"$225,000.00 ","$225,000.00 ","$104,151.98 ","$225,000.00 ","$104,151.98 "
2021,Q4,ARP-0018-RCS,"$4,829,824.30 ","$4,829,824.30 ","$3,286,977.25 ","$4,829,824.30 ","$3,286,977.25 "
2021,Q4,ARP-0017-PHW,"$21,340.94 ","$21,340.94 ","$21,340.94 ","$21,340.94 ","$21,340.94 "
2021,Q4,ARP-0028-OMB,"$252,500.00 ","$252,500.00 ","$252,500.00 ","$252,500.00 ","$252,500.00 "
2021,Q4,ARP-0027-OMB,"$10,174,625.00 ","$10,174,625.00 ","$10,174,625.00 ","$10,174,625.00 ","$10,174,625.00 "
2021,Q4,ARP-0040-YTS,$407.16 ,$407.16 ,$407.16 ,$407.16 ,$407.16 
2021,Q4,ARP-0001-DEL,"$9,850,158.23 ","$9,850,158.23 ","$9,850,158.23 ","$9,850,158.23 ","$9,850,158.23 "
2021,Q4,ARP-0005-PHW,"$1,485,117.07 ","$1,485,117.07 ","$1,485,117.07 ","$1,485,117.07 ","$1,485,117.07 "
