State,City,Allocation,
Michigan,Farmington Hills,"$8,911,759.00",
Michigan,Flint,"$94,726,664.00",
Michigan,Georgetown charter township,"$5,076,913.00",
Michigan,Grand Rapids,"$92,279,500.00",
Michigan,Holland,"$8,453,519.00",
Michigan,Jackson,"$31,444,825.00",
Michigan,Kalamazoo,"$38,872,877.00",
Michigan,Kentwood city,"$7,899,605.00",
Michigan,Lansing,"$49,924,664.00",
Michigan,Lincoln Park,"$19,146,461.00",
Michigan,Livonia,"$8,910,652.00",
Michigan,Macomb township,"$7,210,898.00",
Michigan,Midland,"$5,376,869.00",
Michigan,Monroe,"$11,405,523.00",
Michigan,Muskegon,"$22,881,894.00",
Michigan,Muskegon Hts,"$10,684,772.00",
Michigan,Niles,"$7,031,749.00",
Michigan,Norton Shores,"$3,562,331.00",
Michigan,Novi city,"$4,996,379.00",
Michigan,Pontiac,"$37,717,953.00",
Michigan,Port Huron,"$17,959,874.00",
Michigan,Portage,"$5,655,184.00",
Michigan,Redford,"$21,962,768.00",
Michigan,Rochester Hills city,"$6,194,998.00",
Michigan,Roseville,"$14,393,345.00",
Michigan,Royal Oak,"$28,107,502.00",
Michigan,Saginaw,"$52,089,151.00",
Michigan,Shelby charter township,"$8,374,084.00",
Michigan,Southfield,"$9,819,555.00",
Michigan,St Clair Shores,"$21,247,393.00",
Michigan,Sterling Heights,"$19,837,262.00",
Michigan,Taylor,"$11,593,181.00",
Michigan,Troy city,"$8,181,545.00",
Michigan,Warren,"$27,318,439.00",
Michigan,Waterford Township,"$9,280,012.00",
Michigan,West Bloomfield charter township,"$5,807,871.00",
Michigan,Westland,"$25,932,032.00",
Michigan,Wyoming,"$13,155,842.00",
Michigan,Ypsilanti charter township,"$9,439,025.00",
Minnesota,Apple Valley city,"$5,647,258.00",
Minnesota,Blaine city,"$6,793,793.00",
Minnesota,Bloomington,"$11,396,081.00",
Minnesota,Brooklyn Park city,"$11,052,580.00",
Minnesota,Burnsville city,"$8,037,982.00",
Minnesota,Coon Rapids city,"$6,568,368.00",
Minnesota,Duluth,"$58,117,859.00",
Minnesota,Eagan city,"$6,917,343.00",
Minnesota,Eden Prairie,"$7,447,401.00",
Minnesota,Edina city,"$4,932,493.00",
Minnesota,Lakeville city,"$5,438,774.00",
Minnesota,Mankato City,"$10,097,143.00",
Minnesota,Maple Grove city,"$5,109,436.00",
Minnesota,Minneapolis,"$271,192,484.00",
Minnesota,Minnetonka city,"$4,733,320.00",
Minnesota,Moorhead,"$7,099,345.00",
Minnesota,Plymouth,"$7,021,371.00",
Minnesota,Rochester,"$17,435,537.00",
Minnesota,St Cloud,"$16,463,610.00",
Minnesota,St Paul,"$166,641,623.00",
Minnesota,Woodbury City,"$6,012,584.00",
Mississippi,Biloxi,"$11,098,303.00",
Mississippi,Gulfport,"$19,503,534.00",
Mississippi,Hattiesburg,"$12,875,821.00",
Mississippi,Jackson,"$42,098,330.00",
Mississippi,Moss Point,"$2,722,613.00",
Mississippi,Pascagoula,"$5,167,294.00",
Mississippi,Southaven city,"$7,604,974.00",
Missouri,Blue Springs,"$6,190,665.00",
Missouri,Cape Girardeau city,"$8,280,673.00",
Missouri,Columbia,"$25,284,624.00",
Missouri,Florissant,"$6,677,255.00",
Missouri,Independence,"$21,485,924.00",
Missouri,Jefferson City,"$7,586,581.00",
Missouri,Joplin,"$13,779,739.00",
Missouri,Kansas City,"$194,776,376.00",
Missouri,Lees Summit,"$8,310,882.00",
Missouri,O'Fallon,"$7,774,553.00",
Missouri,Springfield,"$40,276,290.00",
Missouri,St Joseph,"$38,704,807.00",
Missouri,St Louis,"$439,692,690.00",
Missouri,St. Charles city,"$7,157,499.00",
Missouri,St. Peters city,"$4,570,716.00",
Montana,Billings,"$15,940,314.00",
Montana,Great Falls,"$19,472,737.00",
Montana,Missoula,"$14,192,996.00",
Nebraska,Bellevue,"$8,395,637.00",
Nebraska,Grand Island,"$9,093,880.00",
Nebraska,Lincoln,"$45,949,074.00",
Nebraska,Omaha,"$112,591,455.00",
Nevada,Carson City,"$9,912,979.00",
Nevada,Henderson,"$37,368,428.00",
Nevada,Las Vegas,"$130,568,739.00",
Nevada,North Las Vegas,"$46,340,548.00",
Nevada,Reno,"$51,519,997.00",
Nevada,Sparks,"$16,230,272.00",
New Hampshire,Dover,"$7,535,686.00",
New Hampshire,Manchester,"$43,281,853.00",
New Hampshire,Nashua,"$16,138,777.00",
New Hampshire,Portsmouth,"$12,880,280.00",
New Hampshire,Rochester,"$6,147,502.00",
New Jersey,Asbury Park,"$9,962,705.00",
New Jersey,Atlantic City,"$32,417,555.00",
New Jersey,Bayonne,"$35,655,886.00",
New Jersey,Bloomfield,"$25,827,441.00",
New Jersey,Brick Township,"$7,917,840.00",
New Jersey,Bridgeton,"$8,255,513.00",
New Jersey,Camden,"$61,648,323.00",
New Jersey,Cherry Hill,"$11,361,785.00",
New Jersey,Clifton,"$30,531,115.00",
New Jersey,East Orange,"$35,984,210.00",
New Jersey,Edison,"$15,593,864.00",
New Jersey,Elizabeth,"$40,674,250.00",
New Jersey,Ewing Township,"$6,326,402.00",
New Jersey,Franklin Township,"$7,735,197.00",
New Jersey,Gloucester Twp,"$6,799,055.00",
New Jersey,Hamilton,"$17,161,883.00",
New Jersey,Hammonton town,"$3,327,433.00",
New Jersey,Hoboken City,"$26,137,293.00",
New Jersey,Howell Township,"$4,898,156.00",
New Jersey,Irvington,"$28,922,433.00",
New Jersey,Jackson Township,"$4,871,285.00",
New Jersey,Jersey City,"$139,971,935.00",
New Jersey,Lakewood Township,"$31,890,666.00",
New Jersey,Long Branch,"$11,848,909.00",
New Jersey,Middletown,"$6,586,018.00",
New Jersey,Millville,"$7,078,893.00",
New Jersey,New Brunswick,"$20,726,375.00",
New Jersey,Newark,"$176,667,606.00",
New Jersey,North Bergen Township,"$16,736,740.00",
New Jersey,Ocean City,"$7,035,892.00",
New Jersey,Old Bridge Township,"$6,949,009.00",
New Jersey,Parsippany-Troyhills Twp,"$5,527,527.00",
New Jersey,Passaic,"$31,131,607.00",
New Jersey,Paterson,"$64,668,166.00",
New Jersey,Perth Amboy,"$16,899,892.00",
New Jersey,Piscataway Township,"$7,282,692.00",
New Jersey,Plainfield city,"$23,801,983.00",
New Jersey,Princeton,"$5,824,185.00",
New Jersey,Sayreville,"$5,947,913.00",
New Jersey,Toms River Township,"$10,345,343.00",
New Jersey,Trenton,"$72,913,998.00",
New Jersey,Union City,"$26,618,182.00",
New Jersey,Union Township,"$15,492,274.00",
New Jersey,Vineland,"$11,559,382.00",
New Jersey,Washington Township,"$3,534,671.00",
New Jersey,Wayne Township,"$4,451,949.00",
New Jersey,West New York town,"$18,144,801.00",
New Jersey,Woodbridge,"$17,920,419.00",
New Mexico,Albuquerque,"$108,810,857.00",
New Mexico,Farmington,"$9,862,919.00",
New Mexico,Las Cruces,"$24,759,826.00",
New Mexico,Rio Rancho,"$12,873,197.00",
New Mexico,Santa Fe,"$15,049,631.00",
New York,Albany,"$80,725,433.00",
New York,Amherst Town,"$15,230,415.00",
New York,Auburn,"$21,395,055.00",
New York,Babylon Town,"$27,770,292.00",
New York,Binghamton,"$46,184,674.00",
New York,Brookhaven Town,"$55,026,837.00",
New York,Buffalo,"$331,356,932.00",
New York,Cheektowaga Town,"$25,316,853.00",
New York,Clay Town,"$6,644,891.00",
New York,Colonie Town,"$9,482,071.00",
New York,Dunkirk,"$10,885,109.00",
New York,Elmira,"$28,270,386.00",
New York,Glen Falls,"$12,008,323.00",
New York,Greece,"$11,863,368.00",
New York,Hamburg Town,"$11,538,866.00",
New York,Hempstead village,"$16,790,322.00",
New York,Huntington Town,"$22,209,010.00",
New York,Irondequoit,"$22,454,916.00",
New York,Islip Town,"$47,551,642.00",
New York,Ithaca,"$16,092,137.00",
New York,Jamestown,"$28,079,145.00",
New York,Kingston,"$17,301,385.00",
New York,Middletown,"$11,313,784.00",
New York,Mount Vernon,"$41,108,657.00",
New York,New Rochelle,"$36,938,483.00",
New York,New York,"$4,259,566,740.00",
New York,Newburgh,"$21,814,339.00",
New York,Niagara Falls,"$57,207,528.00",
New York,Poughkeepsie,"$20,863,783.00",
New York,Rochester,"$202,141,319.00",
New York,Rome,"$24,134,423.00",
New York,Saratoga Springs,"$7,848,020.00",
New York,Schenectady,"$52,971,798.00",
New York,Syracuse,"$123,076,929.00",
New York,Tonawanda Town,"$40,351,859.00",
New York,Troy,"$42,879,140.00",
New York,Union Town,"$30,477,638.00",
New York,Utica,"$60,881,737.00",
New York,Watertown City,"$22,265,728.00",
New York,West Seneca,"$8,508,246.00",
New York,White Plains,"$23,167,555.00",
New York,Woodbury village,"$1,473,403.00",
New York,Yonkers,"$87,486,480.00",
North Carolina,Apex town,"$5,257,681.00",
North Carolina,Asheville,"$26,293,853.00",
North Carolina,Burlington,"$11,516,517.00",
North Carolina,Cary,"$16,476,072.00",
North Carolina,Chapel Hill,"$10,668,497.00",
North Carolina,Charlotte,"$141,618,325.00",
North Carolina,Concord,"$16,255,872.00",
North Carolina,Durham,"$51,881,733.00",
North Carolina,Fayetteville,"$40,427,539.00",
North Carolina,Gastonia,"$15,661,923.00",
North Carolina,Goldsboro,"$8,813,514.00",
North Carolina,Greensboro,"$59,430,051.00",
North Carolina,Greenville,"$24,689,311.00",
North Carolina,Hickory,"$8,237,002.00",
North Carolina,High Point,"$22,699,511.00",
North Carolina,Huntersville town,"$4,809,066.00",
North Carolina,Jacksonville,"$9,000,774.00",
North Carolina,Kannapolis,"$9,352,893.00",
North Carolina,Lenoir,"$3,834,691.00",
North Carolina,Morganton,"$4,835,619.00",
North Carolina,New Bern city,"$6,704,351.00",
North Carolina,Raleigh,"$73,292,365.00",
North Carolina,Rocky Mount,"$11,521,180.00",
North Carolina,Salisbury,"$7,227,329.00",
North Carolina,Wilmington,"$25,929,952.00",
North Carolina,Winston-Salem,"$51,732,065.00",
North Dakota,Bismarck,"$9,656,565.00",
North Dakota,Fargo,"$20,205,034.00",
North Dakota,Grand Forks,"$11,439,298.00",
Ohio,Akron,"$145,337,626.00",
Ohio,Alliance,"$15,387,409.00",
Ohio,Barberton,"$16,441,150.00",
Ohio,Bowling Green,"$7,316,778.00",
Ohio,Canton,"$63,613,221.00",
Ohio,Cincinnati,"$279,590,123.00",
Ohio,Cleveland,"$511,721,590.00",
Ohio,Cleveland Heights,"$38,817,062.00",
Ohio,Colerain township,"$7,496,967.00",
Ohio,Columbus,"$187,030,138.00",
Ohio,Cuyahoga Falls,"$16,493,877.00",
Ohio,Dayton,"$137,976,174.00",
Ohio,East Cleveland,"$26,639,320.00",
Ohio,Elyria,"$18,780,812.00",
Ohio,Euclid,"$25,409,948.00",
Ohio,Fairborn,"$6,811,368.00",
Ohio,Green township,"$8,913,892.00",
Ohio,Hamilton City,"$33,590,200.00",
Ohio,Kent,"$7,510,281.00",
Ohio,Kettering,"$13,851,520.00",
Ohio,Lakewood,"$47,219,575.00",
Ohio,Lancaster,"$12,556,172.00",
Ohio,Lima,"$26,371,401.00",
Ohio,Lorain,"$32,491,585.00",
Ohio,Mansfield,"$20,995,402.00",
Ohio,Marietta,"$9,725,620.00",
Ohio,Massillon,"$16,373,501.00",
Ohio,Mentor,"$3,988,092.00",
Ohio,Middletown,"$18,925,154.00",
Ohio,Newark,"$18,140,021.00",
Ohio,Parma,"$23,734,921.00",
Ohio,Sandusky,"$18,091,098.00",
Ohio,Springfield,"$44,230,364.00",
Ohio,Steubenville,"$14,598,300.00",
Ohio,Toledo,"$180,948,591.00",
Ohio,Warren,"$28,680,143.00",
Ohio,West Chester township,"$6,625,344.00",
Ohio,Youngstown,"$82,775,370.00",
Oklahoma,Broken Arrow city,"$13,768,466.00",
Oklahoma,Edmond,"$12,741,315.00",
Oklahoma,Enid,"$11,854,984.00",
Oklahoma,Lawton,"$18,202,822.00",
Oklahoma,Midwest City,"$9,858,239.00",
Oklahoma,Moore City,"$8,469,969.00",
Oklahoma,Norman,"$22,245,542.00",
Oklahoma,Oklahoma City,"$122,507,590.00",
Oklahoma,Shawnee,"$8,351,474.00",
Oklahoma,Tulsa,"$87,826,517.00",
Oregon,Albany,"$8,459,912.00",
Oregon,Ashland,"$4,647,957.00",
Oregon,Beaverton,"$16,859,058.00",
Oregon,Bend,"$14,076,428.00",
Oregon,Corvallis,"$13,085,521.00",
Oregon,Eugene,"$35,908,037.00",
Oregon,Grants Pass,"$9,373,862.00",
Oregon,Gresham,"$25,399,647.00",
Oregon,Hillsboro,"$18,014,829.00",
Oregon,Lebanon city,"$3,475,676.00",
Oregon,Medford,"$18,283,804.00",
Oregon,Portland,"$207,895,373.00",
Oregon,Redmond,"$5,863,069.00",
Oregon,Salem,"$34,127,916.00",
Oregon,Springfield,"$13,956,221.00",
Oregon,Tigard,"$7,499,726.00",
Pennsylvania,Abington,"$19,107,973.00",
Pennsylvania,Allentown,"$57,132,604.00",
Pennsylvania,Altoona,"$39,258,106.00",
Pennsylvania,Bensalem Township,"$9,497,764.00",
Pennsylvania,Berwick Borough,"$7,287,582.00",
Pennsylvania,Bethlehem,"$34,467,364.00",
Pennsylvania,Bloomsburg,"$6,275,309.00",
Pennsylvania,Bristol Township,"$15,886,687.00",
Pennsylvania,Carlisle,"$9,186,671.00",
Pennsylvania,Chambersburg,"$7,763,037.00",
Pennsylvania,Chester,"$30,357,628.00",
Pennsylvania,East Stroudsburg borough,"$2,813,500.00",
Pennsylvania,Easton city,"$20,665,806.00",
Pennsylvania,Erie,"$76,098,836.00",
Pennsylvania,Gettysburg borough,"$3,136,677.00",
Pennsylvania,Hanover borough,"$7,573,079.00",
Pennsylvania,Harrisburg,"$47,073,625.00",
Pennsylvania,Haverford,"$19,840,290.00",
Pennsylvania,Hazleton,"$17,132,482.00",
Pennsylvania,Johnstown,"$30,716,690.00",
Pennsylvania,Lancaster City,"$39,518,923.00",
Pennsylvania,Lebanon,"$16,672,455.00",
Pennsylvania,Lower Merion,"$25,503,294.00",
Pennsylvania,Mckeesport,"$24,753,914.00",
Pennsylvania,Millcreek Township,"$5,860,073.00",
Pennsylvania,Norristown,"$20,140,217.00",
Pennsylvania,Penn Hills,"$17,129,203.00",
Pennsylvania,Philadelphia,"$1,087,606,822.00",
Pennsylvania,Pittsburgh,"$335,070,222.00",
Pennsylvania,Reading,"$61,134,970.00",
Pennsylvania,Scranton,"$68,746,050.00",
Pennsylvania,Sharon,"$14,382,307.00",
Pennsylvania,State College,"$13,276,247.00",
Pennsylvania,Upper Darby,"$41,761,939.00",
Pennsylvania,Waynesboro borough,"$4,251,774.00",
Pennsylvania,Wilkes-Barre,"$37,156,228.00",
Pennsylvania,Williamsport,"$25,477,801.00",
Pennsylvania,York,"$35,304,707.00",
Puerto Rico,Aguadilla Municipio,"$21,724,939.00",
Puerto Rico,Arecibo Municipio,"$33,368,185.00",
Puerto Rico,Bayamon Municipio,"$53,127,043.00",
Puerto Rico,Cabo Rojo Municipio,"$21,052,469.00",
Puerto Rico,Caguas Municipio,"$42,614,411.00",
Puerto Rico,Canovanas Municipio,"$17,809,524.00",
Puerto Rico,Carolina Municipio,"$43,674,914.00",
Puerto Rico,Cayey Municipio,"$15,146,756.00",
Puerto Rico,Cidra Municipio,"$14,342,029.00",
Puerto Rico,Fajardo Municipio,"$12,129,122.00",
Puerto Rico,Guayama Municipio,"$16,059,566.00",
Puerto Rico,Guaynabo Municipio,"$20,838,268.00",
Puerto Rico,Humacao Municipio,"$20,159,865.00",
Puerto Rico,Isabela Municipio,"$18,369,668.00",
Puerto Rico,Juana Diaz Municipio,"$17,954,148.00",
Puerto Rico,Manati Municipio,"$17,227,467.00",
Puerto Rico,Mayaguez Municipio,"$34,786,579.00",
Puerto Rico,Ponce Municipio,"$59,192,776.00",
Puerto Rico,Rio Grande Municipio,"$17,452,222.00",
Puerto Rico,San German Municipio,"$13,321,840.00",
Puerto Rico,San Juan Municipio,"$175,854,727.00",
Puerto Rico,San Sebastian Municipio,"$15,623,463.00",
Puerto Rico,Toa Alta Municipio,"$19,792,422.00",
Puerto Rico,Toa Baja Municipio,"$25,856,763.00",
Puerto Rico,Trujillo Alto Municipio,"$19,218,950.00",
Puerto Rico,Vega Baja Municipio,"$20,502,426.00",
Puerto Rico,Yauco Municipio,"$13,909,518.00",
Rhode Island,Cranston,"$26,770,457.00",
Rhode Island,East Providence,"$18,536,674.00",
Rhode Island,Pawtucket,"$44,262,279.00",
Rhode Island,Providence,"$131,373,965.00",
Rhode Island,Warwick,"$23,697,760.00",
Rhode Island,Woonsocket,"$28,278,594.00",
South Carolina,Aiken,"$4,312,468.00",
South Carolina,Anderson,"$14,507,668.00",
South Carolina,Bluffton town,"$1,982,471.00",
South Carolina,Charleston,"$21,092,855.00",
South Carolina,Columbia,"$27,178,358.00",
South Carolina,Conway city,"$4,365,105.00",
South Carolina,Florence,"$7,943,151.00",
South Carolina,Greenville,"$17,908,547.00",
South Carolina,Hilton Head Island,"$5,227,178.00",
South Carolina,Mount Pleasant town,"$7,428,213.00",
South Carolina,Myrtle Beach city,"$7,920,696.00",
South Carolina,North Charleston city,"$24,317,215.00",
South Carolina,North Myrtle Beach city,"$1,954,643.00",
South Carolina,Rock Hill,"$13,179,656.00",
South Carolina,Spartanburg,"$16,480,273.00",
South Carolina,Summerville,"$7,796,973.00",
South Carolina,Sumter,"$7,565,586.00",
South Dakota,Rapid City,"$13,024,994.00",
South Dakota,Sioux Falls,"$25,415,071.00",
Tennessee,Bartlett city,"$5,766,313.00",
Tennessee,Bristol,"$5,586,805.00",
Tennessee,Chattanooga,"$38,640,506.00",
Tennessee,Clarksville,"$25,531,478.00",
Tennessee,Cleveland,"$9,313,001.00",
Tennessee,Collierville town,"$4,397,233.00",
Tennessee,Franklin City,"$9,253,841.00",
Tennessee,Hendersonville,"$5,902,342.00",
Tennessee,Jackson,"$13,893,451.00",
Tennessee,Johnson City,"$13,415,440.00",
Tennessee,Kingsport,"$10,356,906.00",
Tennessee,Knoxville,"$42,453,411.00",
Tennessee,Memphis,"$161,061,490.00",
Tennessee,Morristown,"$8,234,483.00",
Tennessee,Murfreesboro,"$24,106,035.00",
Tennessee,Nashville-Davidson,"$124,981,265.00",
Tennessee,Oak Ridge,"$6,000,796.00",
Tennessee,Smyrna town,"$7,954,313.00",
Texas,Abilene,"$21,455,963.00",
Texas,Allen,"$10,159,869.00",
Texas,Amarillo,"$39,676,317.00",
Texas,Arlington,"$81,498,709.00",
Texas,Austin,"$188,482,478.00",
Texas,Baytown City,"$16,345,399.00",
Texas,Beaumont,"$33,084,864.00",
Texas,Brownsville,"$65,194,854.00",
Texas,Bryan,"$21,183,735.00",
Texas,Carrollton,"$19,571,304.00",
Texas,Cedar Park city,"$7,653,456.00",
Texas,College Station,"$29,478,326.00",
Texas,Conroe,"$15,844,218.00",
Texas,Corpus Christi,"$67,553,894.00",
Texas,Dallas,"$355,426,891.00",
Texas,Denison,"$7,326,612.00",
Texas,Denton,"$23,290,438.00",
Texas,Desoto,"$7,306,702.00",
Texas,Edinburg,"$27,132,536.00",
Texas,El Paso,"$154,345,135.00",
Texas,Euless City,"$10,393,946.00",
Texas,Flower Mound Town,"$5,927,220.00",
Texas,Fort Worth,"$173,745,090.00",
Texas,Frisco,"$16,638,254.00",
Texas,Galveston,"$27,371,621.00",
Texas,Garland,"$53,513,994.00",
Texas,Georgetown city,"$8,029,506.00",
Texas,Grand Prairie,"$36,709,655.00",
Texas,Grapevine,"$6,860,286.00",
Texas,Harlingen,"$21,927,374.00",
Texas,Houston,"$607,769,139.00",
Texas,Irving,"$54,277,494.00",
Texas,Killeen,"$29,117,907.00",
Texas,Laredo,"$85,558,888.00",
Texas,League City,"$10,385,742.00",
Texas,Leander city,"$5,658,845.00",
Texas,Lewisville,"$19,541,144.00",
Texas,Little Elm city,"$4,402,726.00",
Texas,Longview,"$17,048,510.00",
Texas,Lubbock,"$56,575,324.00",
Texas,Mansfield,"$6,550,549.00",
Texas,Marshall,"$9,078,903.00",
Texas,Mc Allen,"$41,922,103.00",
Texas,Mckinney City,"$23,115,761.00",
Texas,Mesquite,"$27,021,425.00",
Texas,Midland,"$24,988,224.00",
Texas,Mission,"$25,044,862.00",
Texas,Missouri City,"$6,910,253.00",
Texas,New Braunfels,"$10,995,314.00",
Texas,North Richland Hills,"$9,515,205.00",
Texas,Odessa,"$20,322,959.00",
Texas,Orange,"$8,289,219.00",
Texas,Pasadena,"$40,199,596.00",
Texas,Pearland,"$11,888,971.00",
Texas,Pflugerville City,"$6,140,439.00",
Texas,Pharr,"$28,232,868.00",
Texas,Plano,"$36,424,316.00",
Texas,Port Arthur,"$26,731,836.00",
Texas,Richardson city,"$18,285,133.00",
Texas,Round Rock,"$16,397,285.00",
Texas,Rowlett,"$6,851,861.00",
Texas,San Angelo,"$16,650,136.00",
Texas,San Antonio,"$326,919,408.00",
Texas,San Benito,"$9,066,287.00",
Texas,San Marcos,"$18,101,483.00",
Texas,Sherman,"$8,437,356.00",
Texas,Sugar Land city,"$11,115,958.00",
Texas,Temple,"$14,170,861.00",
Texas,Texarkana,"$9,404,018.00",
Texas,Texas City,"$10,309,444.00",
Texas,Tyler,"$20,211,586.00",
Texas,Victoria,"$14,508,296.00",
Texas,Waco,"$34,720,687.00",
Texas,Wichita Falls,"$29,091,650.00",
Texas,Wylie city,"$6,099,649.00",
Utah,Clearfield,"$5,092,432.00",
Utah,Herriman city,"$4,803,648.00",
Utah,Layton,"$9,714,265.00",
Utah,Lehi City,"$7,741,569.00",
Utah,Logan,"$13,815,781.00",
Utah,Millcreek city,"$7,929,650.00",
Utah,Ogden,"$25,612,830.00",
Utah,Orem,"$16,087,350.00",
Utah,Provo,"$33,880,698.00",
Utah,Salt Lake City,"$85,411,572.00",
Utah,Sandy City,"$9,151,064.00",
Utah,South Jordan,"$5,643,640.00",
Utah,St George,"$15,954,196.00",
Utah,Taylorsville,"$8,884,092.00",
Utah,West Jordan,"$13,388,377.00",
Utah,West Valley,"$26,512,139.00",
Vermont,Burlington,"$18,857,481.00",
Vermont,South Burlington city,"$1,864,421.00",
Virginia,Alexandria,"$28,666,813.00",
Virginia,Blacksburg,"$13,364,987.00",
Virginia,Bristol,"$6,771,552.00",
Virginia,Charlottesville,"$10,428,843.00",
Virginia,Chesapeake,"$28,469,568.00",
Virginia,Christiansburg,"$3,115,411.00",
Virginia,Colonial Heights,"$2,636,171.00",
Virginia,Danville,"$21,364,773.00",
Virginia,Fredericksburg,"$5,142,844.00",
Virginia,Hampton,"$22,533,427.00",
Virginia,Harrisonburg,"$13,536,358.00",
Virginia,Hopewell,"$5,622,819.00",
Virginia,Leesburg town,"$5,927,673.00",
Virginia,Lynchburg,"$17,368,358.00",
Virginia,Newport News,"$31,981,891.00",
Virginia,Norfolk,"$106,991,262.00",
Virginia,Petersburg,"$14,873,246.00",
Virginia,Portsmouth,"$38,506,859.00",
Virginia,Radford,"$4,683,738.00",
Virginia,Richmond,"$110,120,336.00",
Virginia,Roanoke,"$45,319,306.00",
Virginia,Staunton,"$8,113,077.00",
Virginia,Suffolk,"$12,174,397.00",
Virginia,Virginia Beach,"$49,027,529.00",
Virginia,Waynesboro City,"$4,650,991.00",
Virginia,Winchester,"$6,883,860.00",
Washington,Anacortes,"$2,631,759.00",
Washington,Auburn,"$14,751,231.00",
Washington,Bellevue,"$20,110,630.00",
Washington,Bellingham,"$20,925,817.00",
Washington,Bremerton,"$10,851,402.00",
Washington,Burien,"$10,806,859.00",
Washington,East Wenatchee City,"$3,057,385.00",
Washington,Everett,"$20,695,570.00",
Washington,Federal Way,"$19,216,886.00",
Washington,Kennewick,"$16,062,005.00",
Washington,Kent City,"$28,172,327.00",
Washington,Kirkland City,"$10,155,994.00",
Washington,Lacey city,"$6,856,924.00",
Washington,Lakewood,"$13,766,236.00",
Washington,Longview,"$8,112,084.00",
Washington,Marysville,"$9,417,568.00",
Washington,Mount Vernon,"$9,053,048.00",
Washington,Olympia,"$9,205,624.00",
Washington,Pasco,"$17,464,312.00",
Washington,Port Orchard city,"$2,821,078.00",
Washington,Redmond,"$9,928,999.00",
Washington,Renton City,"$18,113,855.00",
Washington,Richland,"$7,361,385.00",
Washington,Sammamish city,"$4,759,912.00",
Washington,Seattle,"$232,341,627.00",
Washington,Shoreline,"$7,533,842.00",
Washington,Spokane,"$80,991,104.00",
Washington,Spokane Valley city,"$16,006,492.00",
Washington,Tacoma,"$60,969,952.00",
Washington,Tumwater city,"$2,565,043.00",
Washington,Vancouver,"$33,135,869.00",
Washington,Walla Walla City,"$9,974,964.00",
Washington,Wenatchee,"$6,383,622.00",
Washington,Yakima,"$26,195,479.00",
West Virginia,Beckley City,"$7,689,933.00",
West Virginia,Charleston,"$36,801,358.00",
West Virginia,Huntington,"$40,628,967.00",
West Virginia,Martinsburg,"$9,111,132.00",
West Virginia,Morgantown,"$11,243,509.00",
West Virginia,Parkersburg,"$21,850,407.00",
West Virginia,Vienna City,"$2,637,342.00",
West Virginia,Weirton,"$10,028,924.00",
West Virginia,Wheeling,"$28,197,143.00",
Wisconsin,Appleton,"$14,891,841.00",
Wisconsin,Beloit,"$15,218,991.00",
Wisconsin,Eau Claire,"$13,529,002.00",
Wisconsin,Fond Du Lac,"$13,792,153.00",
Wisconsin,Green Bay,"$23,695,516.00",
Wisconsin,Janesville,"$11,686,560.00",
Wisconsin,Kenosha,"$26,488,543.00",
Wisconsin,La Crosse,"$21,748,073.00",
Wisconsin,Madison,"$47,197,155.00",
Wisconsin,Milwaukee,"$394,226,649.00",
Wisconsin,Neenah,"$5,549,573.00",
Wisconsin,Onalaska city,"$2,131,226.00",
Wisconsin,Oshkosh,"$20,514,484.00",
Wisconsin,Racine,"$46,246,465.00",
Wisconsin,Sheboygan,"$22,006,206.00",
Wisconsin,Superior,"$17,082,059.00",
Wisconsin,Waukesha,"$10,883,993.00",
Wisconsin,Wausau,"$15,586,461.00",
Wisconsin,Wauwatosa,"$24,663,875.00",
Wisconsin,West Allis,"$30,941,771.00",
Wisconsin,Weston village,"$2,220,083.00",
Wyoming,Casper city,"$9,115,340.00",
Wyoming,Cheyenne,"$12,191,813.00",
TOTAL,,"$45,570,000,000.00",
